Time,Cup,Name,Height,Calc.,Flags
14:54,9,CCV W 0.5 ppm,25268.6543,0.470065534,
14:55,0,Blank,10.15786076,0.004317818,
14:57,0,Read Baseline,0,0.004132194,BL 
14:58,1,0.00 ppm check,-112.1585464,0.002082697,I 
14:59,2,0.05 ppm check,2664.27002,0.05286533,I 
15:00,3,0.10 ppm check,5193.76709,0.099219188,I 
15:02,4,0.50 ppm check,27312.23047,0.50811249,I 
15:03,5,1.00 ppm check,52786.99609,0.986980677,I 
15:04,6,5.00 ppm check,260771.8125,5.214158058,I 
15:05,0,Blank,623.446106,0.015527554,I 
15:07,0,Blank,57.09054184,0.005175484,I 
15:08,10,CCV W 0.5 ppm,31160.09766,0.579899549,F 
15:09,0,Blank,85.12937164,0.00568789,
15:10,0,Read Baseline,0,0.004132194,BL 
